Genotype,fr_lf_sen_rate,grains_per_gram_stem,ll_modifier,max_grain_size,photop_sens,potential_grain_filling_rate,transp_eff_cf,tt_floral_initiation,vern_sens,y_extinct_coef,y_frac_leaf,y_rue
'g001',0.0323,23.1514,1.0135,0.0412,2.1261,0.0020,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',493.7603,1.8312,'0.5464  0.5464  0.5464','0  0  0.5897  0.5897  0.5897  0.39510  0  0  0  0  0  0  0  0','0  0  1.21  1.21  1.21  1.21  1.21  1.21  0  0  0'
'g002',0.0329,22.7248,1.0078,0.0429,2.1071,0.0020,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',485.3376,1.8424,'0.5376  0.5376  0.5376','0  0  0.5872  0.5872  0.5872  0.39340  0  0  0  0  0  0  0  0','0  0  1.222  1.222  1.222  1.222  1.222  1.222  0  0  0'
'g003',0.0376,23.7379,1.0161,0.0367,2.0454,0.0019,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',502.5480,1.9493,'0.5063  0.5063  0.5063','0  0  0.607  0.607  0.607  0.40670  0  0  0  0  0  0  0  0','0  0  1.28  1.28  1.28  1.28  1.28  1.28  0  0  0'
'g004',0.0342,22.0635,1.0455,0.0479,2.3872,0.0023,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',523.7002,1.8422,'0.4781  0.4781  0.4781','0  0  0.6155  0.6155  0.6155  0.41240  0  0  0  0  0  0  0  0','0  0  1.175  1.175  1.175  1.175  1.175  1.175  0  0  0'
'g005',0.0330,21.4964,1.0040,0.0515,1.9672,0.0021,'0  0  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0  0',508.5128,2.0100,'0.509  0.509  0.509','0  0  0.5981  0.5981  0.5981  0.40070  0  0  0  0  0  0  0  0','0  0  1.125  1.125  1.125  1.125  1.125  1.125  0  0  0'
'g006',0.0345,21.8870,1.0809,0.0498,2.3011,0.0021,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',525.0672,2.0793,'0.4219  0.4219  0.4219','0  0  0.5996  0.5996  0.5996  0.40170  0  0  0  0  0  0  0  0','0  0  1.137  1.137  1.137  1.137  1.137  1.137  0  0  0'
'g007',0.0389,21.7993,0.9830,0.0383,1.9385,0.0019,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',487.7321,2.1131,'0.5966  0.5966  0.5966','0  0  0.6201  0.6201  0.6201  0.41550  0  0  0  0  0  0  0  0','0  0  1.228  1.228  1.228  1.228  1.228  1.228  0  0  0'
'g008',0.0329,22.8837,1.0043,0.0462,2.3203,0.0020,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',515.1583,2.5993,'0.4325  0.4325  0.4325','0  0  0.6345  0.6345  0.6345  0.42510  0  0  0  0  0  0  0  0','0  0  0.9984  0.9984  0.9984  0.9984  0.9984  0.9984  0  0  0'
'g009',0.0368,21.8553,1.0155,0.0470,1.8892,0.0021,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',517.6982,1.6496,'0.4315  0.4315  0.4315','0  0  0.6162  0.6162  0.6162  0.41290  0  0  0  0  0  0  0  0','0  0  1.165  1.165  1.165  1.165  1.165  1.165  0  0  0'
'g010',0.0342,22.5112,0.9975,0.0473,2.3320,0.0022,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',523.1951,2.2613,'0.5274  0.5274  0.5274','0  0  0.623  0.623  0.623  0.41740  0  0  0  0  0  0  0  0','0  0  1.175  1.175  1.175  1.175  1.175  1.175  0  0  0'
'g011',0.0344,22.3728,1.0246,0.0436,2.5311,0.0021,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',510.4706,2.1918,'0.5519  0.5519  0.5519','0  0  0.5894  0.5894  0.5894  0.39490  0  0  0  0  0  0  0  0','0  0  1.135  1.135  1.135  1.135  1.135  1.135  0  0  0'
'g012',0.0348,22.3783,0.9900,0.0519,2.5168,0.0022,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',519.6913,2.1549,'0.5457  0.5457  0.5457','0  0  0.6092  0.6092  0.6092  0.40820  0  0  0  0  0  0  0  0','0  0  1.206  1.206  1.206  1.206  1.206  1.206  0  0  0'
'g013',0.0316,21.2597,0.9516,0.0484,2.4741,0.0020,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',542.1065,1.9242,'0.4901  0.4901  0.4901','0  0  0.6081  0.6081  0.6081  0.40740  0  0  0  0  0  0  0  0','0  0  1.262  1.262  1.262  1.262  1.262  1.262  0  0  0'
'g014',0.0341,22.1622,0.9806,0.0454,2.4059,0.0020,'0  0  0.0062  0.0062  0.0062  0.0062  0.0062  0.0062  0.0062  0  0',500.9934,2.1355,'0.4907  0.4907  0.4907','0  0  0.5733  0.5733  0.5733  0.38410  0  0  0  0  0  0  0  0','0  0  1.15  1.15  1.15  1.15  1.15  1.15  0  0  0'
'g015',0.0359,22.5057,1.0474,0.0444,1.9867,0.0022,'0  0  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0.0054  0  0',488.7106,1.9229,'0.4728  0.4728  0.4728','0  0  0.6073  0.6073  0.6073  0.40690  0  0  0  0  0  0  0  0','0  0  1.202  1.202  1.202  1.202  1.202  1.202  0  0  0'
'g016',0.0348,23.5809,0.9936,0.0371,2.1226,0.0020,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',472.6771,1.9738,'0.5416  0.5416  0.5416','0  0  0.6349  0.6349  0.6349  0.42540  0  0  0  0  0  0  0  0','0  0  1.074  1.074  1.074  1.074  1.074  1.074  0  0  0'
