groups,trial
ET2,Emerald_1983
ET1,Emerald_1984
ET2,Emerald_1985
ET2,Emerald_1986
ET2,Emerald_1987
ET1,Emerald_1988
ET2,Emerald_1989
ET4,Emerald_1990
ET4,Emerald_1991
ET4,Emerald_1992
ET2,Emerald_1993
ET4,Emerald_1994
ET4,Emerald_1995
ET4,Emerald_1996
ET4,Emerald_1997
ET2,Emerald_1998
ET4,Emerald_1999
ET2,Emerald_2000
ET4,Emerald_2001
ET3,Emerald_2002
ET4,Emerald_2003
ET4,Emerald_2004
ET2,Emerald_2005
ET2,Emerald_2006
ET2,Emerald_2007
ET2,Emerald_2008
ET4,Emerald_2009
ET3,Emerald_2010
ET4,Emerald_2011
ET2,Emerald_2012
ET4,Emerald_2013
ET1,Merredin_1983
ET1,Merredin_1984
ET1,Merredin_1985
ET1,Merredin_1986
ET2,Merredin_1987
ET1,Merredin_1988
ET2,Merredin_1989
ET2,Merredin_1990
ET2,Merredin_1991
ET1,Merredin_1992
ET1,Merredin_1993
ET1,Merredin_1994
ET1,Merredin_1995
ET1,Merredin_1996
ET1,Merredin_1997
ET1,Merredin_1998
ET1,Merredin_1999
ET2,Merredin_2000
ET1,Merredin_2001
ET4,Merredin_2002
ET1,Merredin_2003
ET1,Merredin_2004
ET1,Merredin_2005
ET3,Merredin_2006
ET3,Merredin_2007
ET2,Merredin_2008
ET1,Merredin_2009
ET3,Merredin_2010
ET1,Merredin_2011
ET3,Merredin_2012
ET3,Merredin_2013
ET1,Narrabri_1983
ET1,Narrabri_1984
ET2,Narrabri_1985
ET1,Narrabri_1986
ET1,Narrabri_1987
ET1,Narrabri_1988
ET1,Narrabri_1989
ET1,Narrabri_1990
ET2,Narrabri_1991
ET4,Narrabri_1992
ET1,Narrabri_1993
ET4,Narrabri_1994
ET2,Narrabri_1995
ET1,Narrabri_1996
ET2,Narrabri_1997
ET1,Narrabri_1998
ET1,Narrabri_1999
ET2,Narrabri_2000
ET2,Narrabri_2001
ET4,Narrabri_2002
ET2,Narrabri_2003
ET2,Narrabri_2004
ET1,Narrabri_2005
ET4,Narrabri_2006
ET2,Narrabri_2007
ET2,Narrabri_2008
ET2,Narrabri_2009
ET1,Narrabri_2010
ET2,Narrabri_2011
ET2,Narrabri_2012
ET2,Narrabri_2013
ET1,Yanco_1983
ET1,Yanco_1984
ET1,Yanco_1985
ET1,Yanco_1986
ET1,Yanco_1987
ET1,Yanco_1988
ET1,Yanco_1989
ET1,Yanco_1990
ET1,Yanco_1991
ET1,Yanco_1992
ET1,Yanco_1993
ET4,Yanco_1994
ET2,Yanco_1995
ET1,Yanco_1996
ET1,Yanco_1997
ET1,Yanco_1998
ET1,Yanco_1999
ET1,Yanco_2000
ET1,Yanco_2001
ET3,Yanco_2002
ET1,Yanco_2003
ET1,Yanco_2004
ET1,Yanco_2005
ET3,Yanco_2006
ET3,Yanco_2007
ET1,Yanco_2008
ET1,Yanco_2009
ET1,Yanco_2010
ET1,Yanco_2011
ET3,Yanco_2012
ET1,Yanco_2013
